Kernel_ID,Usage_Count,Activity_Sum,Status
1,53173,12087.413220054601,Active
2,74291,15580.817943992064,Active
3,17120,3336.1998965939415,Active
4,17805,3881.5426350558537,Active
5,45741,9216.411697041216,Active
6,6677,960.4099063481282,Active
7,18805,3954.469834844963,Active
8,105193,33515.26734397543,Active
9,71447,15293.430304127101,Active
10,77030,19829.718263482246,Active
11,19199,3090.0023780998213,Active
12,14570,2252.133297915871,Active
13,98055,88320.94466482569,Active
14,12751,1914.2736266450609,Active
15,22050,4647.618304095027,Active
16,35365,5635.623912700233,Active
17,6230,925.1096422025618,Active
18,5652,817.9676904732868,Active
19,112279,73479.20332941088,Active
20,5933,910.3265162947034,Active
21,5629,781.4939387317092,Active
22,101860,43026.90481495528,Active
23,7557,1010.2056043332142,Active
24,15627,3689.086650463399,Active
25,15116,3389.6748162543718,Active
26,21429,4699.476684310132,Active
27,82383,32687.86688917502,Active
28,11084,1666.4801970342685,Active
29,95693,75196.35746886441,Active
30,47744,7542.963486059591,Active
31,39805,6754.017679137124,Active
32,157676,31895.608730908953,Active
33,8908,1514.1477395451825,Active
34,90237,52051.96463854333,Active
35,34514,7540.234808948099,Active
36,19547,4787.664061257838,Active
37,18822,2887.463548566318,Active
38,77033,27777.21514369283,Active
39,17227,4029.470858837462,Active
40,6166,882.0225687905416,Active
41,5173,768.2039799196505,Active
42,28296,5368.996813568313,Active
43,80698,24295.666439968933,Active
44,55720,11867.620190519796,Active
45,22070,5225.41608278334,Active
46,96294,31925.682320475957,Active
47,22868,3615.723041604525,Active
48,20851,4141.051712062656,Active
49,15088,2325.1923395733847,Active
50,61703,13607.896597216735,Active
51,94201,24978.458300196275,Active
52,31131,5673.680569792251,Active
53,61597,12311.055191679268,Active
54,9600,1512.0978235273903,Active
55,12633,2207.3874760299304,Active
56,4754,651.6636869037914,Active
57,72839,31188.138057303822,Active
58,18486,3940.841017806345,Active
59,14055,2130.349146775759,Active
60,98702,83911.10871092603,Active
61,49056,12155.147216521227,Active
62,26304,5535.219110492396,Active
63,60603,9805.882385192072,Active
64,92498,82800.22024536258,Active
65,88477,22051.97288337626,Active
66,9274,1653.9067592958236,Active
67,113294,31928.72166027974,Active
68,5332,812.492140114359,Active
69,20249,4669.87520604542,Active
70,58002,28932.143758432398,Active
71,7309,1088.1864559865542,Active
72,18090,3940.6602160575344,Active
73,112105,32702.072093350213,Active
74,85934,45194.37860629137,Active
75,6809,934.6238764743292,Active
76,40136,6528.200798768715,Active
77,59500,9751.147681819753,Active
78,102646,27055.63097617599,Active
79,89746,18819.95408903798,Active
80,15139,2197.1600717335396,Active
81,17622,4253.786569738359,Active
82,13396,2677.3768449093045,Active
83,25010,5710.663962099439,Active
84,93542,43744.67878647219,Active
85,17506,3813.009958605824,Active
86,87396,24349.847519376373,Active
87,111109,49527.081297895806,Active
88,18882,4060.6860699491717,Active
89,52710,9175.790477319048,Active
90,17803,3569.66557883996,Active
91,71645,36214.708992020336,Active
92,66110,41880.59471546906,Active
93,24227,3813.4691477415968,Active
94,6455,1004.3119813852821,Active
95,7134,1034.127233254454,Active
96,61505,12660.336501229396,Active
97,8442,1317.8149755039267,Active
98,14619,3126.192061440135,Active
99,16732,3581.877632720583,Active
100,93531,64709.14824697349,Active
101,27445,5221.782357503052,Active
102,69030,17512.063969032184,Active
103,17228,4016.4328391555778,Active
104,95409,35381.09083610193,Active
105,19649,3352.7137849126757,Active
106,93339,46137.178603707456,Active
107,41471,7358.655067018804,Active
108,8419,1243.824969974137,Active
109,5805,854.5192882569438,Active
110,62744,33566.85430475067,Active
111,104273,33606.814446505814,Active
112,61487,12440.734143948139,Active
113,147201,33952.251191117466,Active
114,7584,1073.0596054736754,Active
115,12589,2273.227521926371,Active
116,86874,36334.84111888944,Active
117,54273,10871.088839418597,Active
118,47535,7722.835049710926,Active
119,18374,3264.3267508090594,Active
120,15969,2693.1084338050728,Active
121,112850,37671.75520068481,Active
122,74473,17607.61410886492,Active
123,5407,786.1950253565172,Active
124,87529,21074.896858458724,Active
125,87167,73052.76100834762,Active
126,83563,20529.411673630926,Active
127,16207,3723.6807074255007,Active
128,6783,1111.5140033494247,Active
