audio_item,model,pesq_wb,pesq_nb
Audio_1,Opt_32,1.573,2.113
Audio_1,Opt_64_dropout,1.59,2.15
Audio_1,Opt_128,1.617,2.188
Audio_1,Opt_256,1.604,2.264
Audio_2,Opt_32,2.155,2.909
Audio_2,Opt_64_dropout,2.149,3.182
Audio_2,Opt_128,2.267,3.163
Audio_2,Opt_256,1.888,2.824
Audio_3,Opt_32,1.165,1.563
Audio_3,Opt_64_dropout,1.147,1.467
Audio_3,Opt_128,1.161,1.585
Audio_3,Opt_256,1.172,1.546
Audio_4,Opt_32,1.352,1.938
Audio_4,Opt_64_dropout,1.365,1.93
Audio_4,Opt_128,1.366,1.907
Audio_4,Opt_256,1.329,1.879
Audio_5,Opt_32,1.19,1.772
Audio_5,Opt_64_dropout,1.217,1.856
Audio_5,Opt_128,1.26,1.941
Audio_5,Opt_256,1.221,1.973
Audio_6,Opt_32,1.845,2.504
Audio_6,Opt_64_dropout,1.887,2.622
Audio_6,Opt_128,1.923,2.792
Audio_6,Opt_256,1.755,2.573
Audio_7,Opt_32,1.34,1.931
Audio_7,Opt_64_dropout,1.248,1.744
Audio_7,Opt_128,1.228,1.649
Audio_7,Opt_256,1.197,1.623
Audio_8,Opt_32,1.598,2.389
Audio_8,Opt_64_dropout,1.596,2.395
Audio_8,Opt_128,1.602,2.54
Audio_8,Opt_256,1.45,2.432
